_id,_form_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,date,crop_yield,observations,pests,plant_health,plant_height,plant_picture_contentType,plant_picture_uriFragment,plot_id,soil,_row_etag,_filter_type,_filter_value
ba,,default,COMPLETE,2014-04-10T10:00:00.000000000,anonymous,2014-04-10T10:00:00.000000000,750,nothing to report,none,good,40,,,1,loam,,,
bb,,default,COMPLETE,2014-04-17T12:30:00.000000000,anonymous,2014-04-17T12:30:00.000000000,2100,Great crop.,none,good,55,,,1,loam,,,
bc,,default,COMPLETE,2014-04-28T03:35:05.000000000,anonymous,2014-04-28T03:35:05.000000000,200,Things are looking dire.,"[""earworm"",""cutworm"", ""beetle""]",bad,45,,,1,loam,,,
bd,,default,COMPLETE,2015-04-20T00:00:00.000000000,anonymous,2015-04-20T00:00:00.000000000,650,Looking promising,none,fair,50,,,2,sandy_loam,,,
be,,default,COMPLETE,2015-05-05T12:00:00.000000000,anonymous,2015-05-05T12:00:00.000000000,1200,Slow and steady progress,none,fair,65,,,2,sandy_loam,,,
bf,,default,COMPLETE,2015-05-20T08:25:00.000000000,anonymous,2015-05-20T08:25:00.000000000,1800,Average looking crop,none,fair,90,,,2,sandy_loam,,,
bg,,default,COMPLETE,2014-04-05T20:28:07.604000000,anonymous,2014-04-05T20:28:07.604000000,100,nothing to report,,fair,30,,,3,sandy_loam,,,
bh,,default,COMPLETE,2014-04-10T10:00:00.000000000,anonymous,2014-04-10T10:00:00.000000000,150,Looks dry,,bad,35,,,3,sandy_loam,,,
bi,,default,COMPLETE,2014-04-15T08:32:07.000000000,anonymous,2014-04-15T08:32:07.000000000,70,Beetles arrived this time.,"[""beetle""]",bad,32,,,3,sandy_loam,,,
bj,,default,COMPLETE,2014-04-14T04:22:22.000000000,anonymous,2014-04-14T04:22:22.000000000,200,Soil seems well taken care of.,"[""cutworm""]",good,20,,,4,loam,,,
bk,,default,COMPLETE,2014-04-20T12:10:10.000000000,anonymous,2014-04-20T12:10:10.000000000,600,Appears to have gotten cutworms.,"[""cutworm""]",good,50,,,4,loam,,,
bl,,default,COMPLETE,2014-05-02T12:10:10.000000000,anonymous,2014-05-02T12:10:10.000000000,2100,Great crop.,"[""cutworm""]",good,103,,,4,loam,,,
bm,,default,COMPLETE,2014-04-01T10:10:10.000000000,anonymous,2014-04-01T10:10:10.000000000,300,Things are looking dire.,"[""earworm"",""cutworm""]",bad,20,,,5,fine_sand,,,
bn,,default,COMPLETE,2014-05-01T14:14:07.000000000,anonymous,2014-05-01T14:14:07.000000000,1100,Seems to have made a turn around.,"[""earworm"",""cutworm""]",fair,65,,,5,fine_sand,,,
bo,,default,COMPLETE,2014-06-01T16:33:10.000000000,anonymous,2014-06-01T16:33:10.000000000,2400,Looking great.,"[""cutworm""]",good,110,,,5,fine_sand,,,
bp,,default,COMPLETE,2014-04-01T16:33:10.000000000,anonymous,2014-04-01T16:33:10.000000000,100,Too soon to tell,none,good,20,,,6,fine_sand,,,
bq,,default,COMPLETE,2014-05-05T23:12:00.000000000,anonymous,2014-05-05T23:12:00.000000000,300,Not looking great,"[""cutworm""]",bad,30,,,6,fine_sand,,,
br,,default,COMPLETE,2014-06-31T08:00:00.000000000,anonymous,2014-06-31T08:00:00.000000000,200,Disappointing crop,"[""cutworm""]",bad,34,,,6,fine_sand,,,
