_element_key,_element_name,_element_type,_list_child_element_keys
Date_and_Time,Date_and_Time,dateTime,[]
Description,Description,string,[]
Image,Image,imageUri,"[""Image_uriFragment"",""Image_contentType""]"
Image_contentType,contentType,string,[]
Image_uriFragment,uriFragment,string,[]
Location,Location,geopoint,"[""Location_latitude"",""Location_longitude"",""Location_altitude"",""Location_accuracy""]"
Location_accuracy,accuracy,number,[]
Location_altitude,altitude,number,[]
Location_latitude,latitude,number,[]
Location_longitude,longitude,number,[]
