RCRC_ID_key,District,Township,Village,Sub-Village,LastName,FirstName,Gender,ID_type,ID_nb,Birth_date,Address,Mobile_nb,Mobile_Provider,HH_nb,Male_nb,Female_nb,Children_nb,Criteria1,Criteria2,CriteriaN,VoucherNB,Commod1,Commod2,Commod3,Commod4,CommodN,Planned_dist_date
1,District1,Township 01,Neighbourhood 02,A,DOE,John,M,National,1234556789ABC,1/2/1963,Street 1,1234567890,Vodafone,9,2,2,5,0,0,0,123,15/06/2016,18/08/2016,18/08/2016,18/08/2016,00/01/1900,25/09/2016
2,District1,Township 02,Neighbourhood 04,B,DEEN,Jeanne,F,National,9708563412CVB,31/10/1956,Street 2,2345678901,Orange,4,1,1,2,0,0,0,564,15/06/2016,18/08/2016,18/08/2016,-,00/01/1900,15/06/2016
3,District1,Township 03,Neighbourhood 06,C,ABBAC,Pol,M,National,3241536578TYH,23/04/1968,Street 3,3456789012,Vodafone,11,2,3,6,0,0,0,52,18/06/2016,00/01/1900,00/01/1900,00/01/1900,00/01/1900,18/06/2016
4,District2,Township 06,Neighbourhood 12,D,SMITH,Georges,M,Passport,10EV87735,1/3/1968,Street 4,4567890123,Orange,2,1,1,0,0,0,0,45,18/06/2016,00/01/1900,00/01/1900,00/01/1900,00/01/1900,15/06/2016
5,District2,Township 07,Neighbourhood 13,F,WOODS,Amy,F,Passport,15UR09981,5/6/1988,Street 5,5678901234,Smart,8,2,2,4,0,0,0,6,18/06/2016,00/01/1900,00/01/1900,00/01/1900,00/01/1900,15/06/2016
6,District3,Township 11,Neighbourhood 21,G,DUPONT,Cathy,F,Student,ABC20160901,21/11/1975,Street 6,6789012345,Tango,7,1,2,4,0,0,0,142,18/06/2016,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
7,District4,Township 16,Neighbourhood 32,H,REED,Paul,M,Health,11975578760AV,25/07/1990,Street 7,7890123456,Tango,3,1,2,0,0,0,0,62,18/06/2016,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
8,District5,Township 25,Neighbourhood 49,I,BIRAL,Filip,M,Health,56820937362TR,18/08/1971,Street 8,8901234567,Smart,6,2,2,2,0,0,0,90,18/06/2016,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
9,District6,Township 29,Neighbourhood 57,J,GANDIS,Iris,F,Passport,78NB09909,9/2/1959,Street 9,9012345678,Smart,9,3,3,3,0,0,0,30,18/06/2016,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
10,District7,Township 33,Neighbourhood 66,K,PILOU,Marc,M,National,6341297085CVB,31/12/1960,Street 10,123456789,Vodafone,10,2,1,7,0,0,0,57,18/06/2016,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
11,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
12,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
13,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
14,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
15,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
16,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
17,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
18,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
19,0,0,0,0,0,0,0,0,0,00/01/1900,0,0,0,0,0,0,0,0,0,0,0,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900,00/01/1900
